10																													
1	1	1	1	1	1	1	1	1	1																				
1	0	1	1	1	1	1	0	1	1																				
1	0	1	0	0	0	0	0	0	0																				
P	0	1	1	1	1	1	1	1	1																				
1	0	1	0	0	0	0	0	0	1																				
1	0	1	1	1	1	1	0	1	1																				
1	0	1	1	1	0	1	0	1	0																				
1	0	0	0	1	1	1	1	X	1																				
1	1	1	0	1	0	1	0	1	0																				
1	0	1	1	1	0	1	1	1	0																				
15																													
0	0	0	1	0	0	1	1	1	1	0	1	1	1	0															
0	0	1	0	0	0	0	1	0	0	1	1	0	0	0															
1	1	1	1	1	1	0	1	0	1	1	0	0	0	1															
1	0	0	1	1	1	0	0	0	0	1	1	0	1	1															
1	0	0	0	1	1	1	0	0	1	0	0	0	1	0															
1	0	1	0	0	0	1	0	1	0	1	1	1	1	0															
1	1	1	1	1	0	0	0	1	1	1	1	1	0	0															
0	0	1	0	1	1	0	1	0	0	1	0	1	0	0															
1	1	1	0	0	0	0	1	1	1	0	1	0	0	1															
0	0	1	1	0	1	0	0	0	1	1	X	1	0	0															
1	1	1	0	0	1	1	1	0	0	1	0	1	1	1															
P	1	0	1	1	1	0	0	1	0	0	1	1	0	0															
1	1	1	1	1	0	0	0	0	0	1	0	0	0	0															
1	0	0	1	0	0	0	1	1	1	1	0	0	1	1															
0	0	0	1	1	1	1	1	0	0	1	1	1	0	1															
30																													
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	1	1	0	1	1	1	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0
0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
0	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0
0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0
0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	1	0	1	0
0	0	1	1	1	1	1	1	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0
0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
0	0	1	1	1	0	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	X	0	1	1	0	0
0	0	0	0	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	1	1	0
0	0	0	0	0	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	0	1	0
0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	1	0	1	0	1	1	0	1	0	1	1	0	0	1	0
0	0	0	1	1	0	1	0	0	1	0	0	1	1	0	1	0	1	1	0	1	0	1	0	0	1	1	1	1	0
0	0	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	0
0	1	1	1	0	0	1	0	1	0	1	0	0	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	0
0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0
0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	0	0
1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
1	0	1	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
P	1	0	0	0	1	1	0	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
